OrderRef,MenuID,BookingID,StaffID,DeliveryStatusID,OrderDate,TableNumber,Quantity,Cost,Discount,DeliveryCost,Sales
65-351-6434,3,3,15,3,17/08/2021,7,3,190,91.41,36.37,285
36-917-2834,4,4,12,4,14/08/2021,3,3,220,11.23,5.49,330
36-917-2834,4,4,12,4,14/08/2021,3,3,133.17,98.01,5.49,199.755
36-917-2834,4,4,12,4,14/08/2021,3,3,210,73.09,5.49,315
36-917-2834,4,4,12,4,14/08/2021,3,3,44.57,97.48,5.49,66.855
36-917-2834,4,4,12,4,14/08/2021,3,3,220,51.05,5.49,330
36-917-2834,4,4,12,4,14/08/2021,3,3,101.6,99.24,5.49,152.4
36-917-2834,4,4,12,4,14/08/2021,3,3,235,20.33,5.49,352.5
36-917-2834,4,4,12,4,14/08/2021,3,3,124.62,68.89,5.49,186.93
36-917-2834,4,4,12,4,14/08/2021,3,3,119.8,89.84,5.49,179.7
36-917-2834,4,4,12,4,14/08/2021,3,3,98,30,5.49,147
36-917-2834,4,4,12,4,14/08/2021,3,3,83.99,9.12,5.49,125.985
36-917-2834,4,4,12,4,14/08/2021,3,3,225,47.84,5.49,337.5
36-917-2834,4,4,12,4,14/08/2021,3,3,133.17,17.4,5.49,199.755
36-917-2834,4,4,12,4,14/08/2021,3,3,210,37.04,5.49,315
36-917-2834,4,4,12,4,14/08/2021,3,3,44.57,67.77,5.49,66.855
36-917-2834,4,4,12,4,14/08/2021,3,3,220,94.76,5.49,330
36-917-2834,4,4,12,4,14/08/2021,3,3,101.6,91.41,5.49,152.4
36-917-2834,4,4,12,4,14/08/2021,3,3,235,24,5.49,352.5
36-917-2834,4,4,12,4,14/08/2021,3,3,124.62,35.44,5.49,186.93
36-917-2834,4,4,12,4,14/08/2021,3,3,119.8,20,5.49,179.7
36-917-2834,4,4,12,4,14/08/2021,3,3,98,9.71,5.49,147
86-114-9232,5,5,14,5,20/12/2020,13,2,320,51.05,63.64,480
86-114-9232,5,5,14,5,20/12/2020,13,2,52.08,99.24,63.64,78.12
86-114-9232,5,5,14,5,20/12/2020,13,2,310,20.33,63.64,465
86-114-9232,5,5,14,5,20/12/2020,13,2,91.84,68.89,63.64,137.76
86-114-9232,5,5,14,5,20/12/2020,13,2,320,89.84,63.64,480
86-114-9232,5,5,14,5,20/12/2020,13,2,93.13,30,63.64,139.695
86-114-9232,5,5,14,5,20/12/2020,13,2,75,9.12,63.64,112.5
86-114-9232,5,5,14,5,20/12/2020,13,2,144.09,47.84,63.64,216.135
86-114-9232,5,5,14,5,20/12/2020,13,2,125,17.4,63.64,187.5
86-114-9232,5,5,14,5,20/12/2020,13,2,168.27,37.04,63.64,252.405
86-114-9232,5,5,14,5,20/12/2020,13,2,69.38,67.77,63.64,104.07
86-114-9232,5,5,14,5,20/12/2020,13,2,190,94.76,63.64,285
86-114-9232,5,5,14,5,20/12/2020,13,2,52.08,91.41,63.64,78.12
86-114-9232,5,5,14,5,20/12/2020,13,2,310,24,63.64,465
86-114-9232,5,5,14,5,20/12/2020,13,2,91.84,35.44,63.64,137.76
86-114-9232,5,5,14,5,20/12/2020,13,2,320,20,63.64,480
86-114-9232,5,5,14,5,20/12/2020,13,2,93.13,9.71,63.64,139.695
86-114-9232,5,5,14,5,20/12/2020,13,2,75,10,63.64,112.5
86-114-9232,5,5,14,5,20/12/2020,13,2,144.09,31.2,63.64,216.135
86-114-9232,5,5,14,5,20/12/2020,13,2,125,15,63.64,187.5
86-114-9232,5,5,14,5,20/12/2020,13,2,168.27,80.34,63.64,252.405
67-709-5581,6,6,13,6,1/03/2020,10,1,210,89.84,5.04,315
67-709-5581,6,6,13,6,1/03/2020,10,1,83.99,30,5.04,125.985
67-709-5581,6,6,13,6,1/03/2020,10,1,225,9.12,5.04,337.5
67-709-5581,6,6,13,6,1/03/2020,10,1,133.17,47.84,5.04,199.755
67-709-5581,6,6,13,6,1/03/2020,10,1,210,17.4,5.04,315
67-709-5581,6,6,13,6,1/03/2020,10,1,44.57,37.04,5.04,66.855
67-709-5581,6,6,13,6,1/03/2020,10,1,220,67.77,5.04,330
67-709-5581,6,6,13,6,1/03/2020,10,1,101.6,94.76,5.04,152.4
67-709-5581,6,6,13,6,1/03/2020,10,1,235,91.41,5.04,352.5
67-709-5581,6,6,13,6,1/03/2020,10,1,124.62,24,5.04,186.93
67-709-5581,6,6,13,6,1/03/2020,10,1,119.8,35.44,5.04,179.7
67-709-5581,6,6,13,6,1/03/2020,10,1,98,20,5.04,147
67-709-5581,6,6,13,6,1/03/2020,10,1,83.99,9.71,5.04,125.985
67-709-5581,6,6,13,6,1/03/2020,10,1,225,10,5.04,337.5
67-709-5581,6,6,13,6,1/03/2020,10,1,133.17,31.2,5.04,199.755
67-709-5581,6,6,13,6,1/03/2020,10,1,210,15,5.04,315
67-709-5581,6,6,13,6,1/03/2020,10,1,44.57,80.34,5.04,66.855
67-709-5581,6,6,13,6,1/03/2020,10,1,220,53.53,5.04,330
67-709-5581,6,6,13,6,1/03/2020,10,1,101.6,61.49,5.04,152.4
67-709-5581,6,6,13,6,1/03/2020,10,1,235,10.52,5.04,352.5
67-709-5581,6,6,13,6,1/03/2020,10,1,124.62,54.08,5.04,186.93
80-076-4032,7,7,12,7,4/10/2021,5,2,310,17.4,56.95,465
80-076-4032,7,7,12,7,4/10/2021,5,2,69.38,37.04,56.95,104.07
80-076-4032,7,7,12,7,4/10/2021,5,2,190,67.77,56.95,285
80-076-4032,7,7,12,7,4/10/2021,5,2,52.08,94.76,56.95,78.12
80-076-4032,7,7,12,7,4/10/2021,5,2,310,91.41,56.95,465
80-076-4032,7,7,12,7,4/10/2021,5,2,91.84,24,56.95,137.76
80-076-4032,7,7,12,7,4/10/2021,5,2,320,35.44,56.95,480
80-076-4032,7,7,12,7,4/10/2021,5,2,93.13,20,56.95,139.695
80-076-4032,7,7,12,7,4/10/2021,5,2,75,9.71,56.95,112.5
80-076-4032,7,7,12,7,4/10/2021,5,2,144.09,10,56.95,216.135
80-076-4032,7,7,12,7,4/10/2021,5,2,125,31.2,56.95,187.5
80-076-4032,7,7,12,7,4/10/2021,5,2,168.27,15,56.95,252.405
80-076-4032,7,7,12,7,4/10/2021,5,2,69.38,80.34,56.95,104.07
80-076-4032,7,7,12,7,4/10/2021,5,2,190,53.53,56.95,285
80-076-4032,7,7,12,7,4/10/2021,5,2,52.08,61.49,56.95,78.12
80-076-4032,7,7,12,7,4/10/2021,5,2,310,10.52,56.95,465
80-076-4032,7,7,12,7,4/10/2021,5,2,91.84,54.08,56.95,137.76
80-076-4032,7,7,12,7,4/10/2021,5,2,320,23,56.95,480
80-076-4032,7,7,12,7,4/10/2021,5,2,93.13,91.14,56.95,139.695
80-076-4032,7,7,12,7,4/10/2021,5,2,75,11.23,56.95,112.5
80-076-4032,7,7,12,7,4/10/2021,5,2,144.09,98.01,56.95,216.135
56-271-4185,8,8,15,8,9/10/2021,5,3,225,91.41,91.05,337.5
56-271-4185,8,8,15,8,9/10/2021,5,3,119.8,24,91.05,179.7
56-271-4185,8,8,15,8,9/10/2021,5,3,98,35.44,91.05,147
56-271-4185,8,8,15,8,9/10/2021,5,3,83.99,20,91.05,125.985
56-271-4185,8,8,15,8,9/10/2021,5,3,225,9.71,91.05,337.5
56-271-4185,8,8,15,8,9/10/2021,5,3,133.17,10,91.05,199.755
56-271-4185,8,8,15,8,9/10/2021,5,3,210,31.2,91.05,315
56-271-4185,8,8,15,8,9/10/2021,5,3,44.57,15,91.05,66.855
56-271-4185,8,8,15,8,9/10/2021,5,3,220,80.34,91.05,330
56-271-4185,8,8,15,8,9/10/2021,5,3,101.6,53.53,91.05,152.4
56-271-4185,8,8,15,8,9/10/2021,5,3,235,61.49,91.05,352.5
56-271-4185,8,8,15,8,9/10/2021,5,3,124.62,10.52,91.05,186.93
56-271-4185,8,8,15,8,9/10/2021,5,3,119.8,54.08,91.05,179.7
56-271-4185,8,8,15,8,9/10/2021,5,3,98,23,91.05,147
56-271-4185,8,8,15,8,9/10/2021,5,3,83.99,91.14,91.05,125.985
56-271-4185,8,8,15,8,9/10/2021,5,3,225,11.23,91.05,337.5
56-271-4185,8,8,15,8,9/10/2021,5,3,133.17,98.01,91.05,199.755
56-271-4185,8,8,15,8,9/10/2021,5,3,210,73.09,91.05,315
56-271-4185,8,8,15,8,9/10/2021,5,3,44.57,97.48,91.05,66.855
56-271-4185,8,8,15,8,9/10/2021,5,3,220,51.05,91.05,330
56-271-4185,8,8,15,8,9/10/2021,5,3,101.6,99.24,91.05,152.4
43-052-9931,9,9,13,9,27/12/2021,13,2,190,9.71,86.28,285
43-052-9931,9,9,13,9,27/12/2021,13,2,125,10,86.28,187.5
43-052-9931,9,9,13,9,27/12/2021,13,2,168.27,31.2,86.28,252.405
43-052-9931,9,9,13,9,27/12/2021,13,2,69.38,15,86.28,104.07
43-052-9931,9,9,13,9,27/12/2021,13,2,190,80.34,86.28,285
43-052-9931,9,9,13,9,27/12/2021,13,2,52.08,53.53,86.28,78.12
43-052-9931,9,9,13,9,27/12/2021,13,2,310,61.49,86.28,465
43-052-9931,9,9,13,9,27/12/2021,13,2,91.84,10.52,86.28,137.76
43-052-9931,9,9,13,9,27/12/2021,13,2,320,54.08,86.28,480
43-052-9931,9,9,13,9,27/12/2021,13,2,93.13,23,86.28,139.695
43-052-9931,9,9,13,9,27/12/2021,13,2,75,91.14,86.28,112.5
43-052-9931,9,9,13,9,27/12/2021,13,2,144.09,11.23,86.28,216.135
43-052-9931,9,9,13,9,27/12/2021,13,2,125,98.01,86.28,187.5
43-052-9931,9,9,13,9,27/12/2021,13,2,168.27,73.09,86.28,252.405
43-052-9931,9,9,13,9,27/12/2021,13,2,69.38,97.48,86.28,104.07
43-052-9931,9,9,13,9,27/12/2021,13,2,190,51.05,86.28,285
43-052-9931,9,9,13,9,27/12/2021,13,2,52.08,99.24,86.28,78.12
43-052-9931,9,9,13,9,27/12/2021,13,2,310,20.33,86.28,465
43-052-9931,9,9,13,9,27/12/2021,13,2,91.84,68.89,86.28,137.76
43-052-9931,9,9,13,9,27/12/2021,13,2,320,89.84,86.28,480
43-052-9931,9,9,13,9,27/12/2021,13,2,93.13,30,86.28,139.695
15-663-0481,10,10,15,10,5/03/2020,2,1,98,80.34,31.34,147
15-663-0481,10,10,15,10,5/03/2020,2,1,235,53.53,31.34,352.5
15-663-0481,10,10,15,10,5/03/2020,2,1,124.62,61.49,31.34,186.93
15-663-0481,10,10,15,10,5/03/2020,2,1,119.8,10.52,31.34,179.7
15-663-0481,10,10,15,10,5/03/2020,2,1,98,54.08,31.34,147
15-663-0481,10,10,15,10,5/03/2020,2,1,83.99,23,31.34,125.985
15-663-0481,10,10,15,10,5/03/2020,2,1,225,91.14,31.34,337.5
15-663-0481,10,10,15,10,5/03/2020,2,1,133.17,11.23,31.34,199.755
15-663-0481,10,10,15,10,5/03/2020,2,1,210,98.01,31.34,315
15-663-0481,10,10,15,10,5/03/2020,2,1,44.57,73.09,31.34,66.855
15-663-0481,10,10,15,10,5/03/2020,2,1,220,97.48,31.34,330
15-663-0481,10,10,15,10,5/03/2020,2,1,101.6,51.05,31.34,152.4
15-663-0481,10,10,15,10,5/03/2020,2,1,235,99.24,31.34,352.5
15-663-0481,10,10,15,10,5/03/2020,2,1,124.62,20.33,31.34,186.93
15-663-0481,10,10,15,10,5/03/2020,2,1,119.8,68.89,31.34,179.7
15-663-0481,10,10,15,10,5/03/2020,2,1,98,89.84,31.34,147
15-663-0481,10,10,15,10,5/03/2020,2,1,83.99,30,31.34,125.985
15-663-0481,10,10,15,10,5/03/2020,2,1,225,9.12,31.34,337.5
15-663-0481,10,10,15,10,5/03/2020,2,1,133.17,47.84,31.34,199.755
15-663-0481,10,10,15,10,5/03/2020,2,1,210,17.4,31.34,315
15-663-0481,10,10,15,10,5/03/2020,2,1,44.57,37.04,31.34,66.855
23-582-1221,11,11,13,11,20/07/2019,8,3,168.27,54.08,85.08,252.405
23-582-1221,11,11,13,11,20/07/2019,8,3,75,23,85.08,112.5
23-582-1221,11,11,13,11,20/07/2019,8,3,144.09,91.14,85.08,216.135
23-582-1221,11,11,13,11,20/07/2019,8,3,125,11.23,85.08,187.5
23-582-1221,11,11,13,11,20/07/2019,8,3,168.27,98.01,85.08,252.405
23-582-1221,11,11,13,11,20/07/2019,8,3,69.38,73.09,85.08,104.07
23-582-1221,11,11,13,11,20/07/2019,8,3,190,97.48,85.08,285
23-582-1221,11,11,13,11,20/07/2019,8,3,52.08,51.05,85.08,78.12
23-582-1221,11,11,13,11,20/07/2019,8,3,310,99.24,85.08,465
23-582-1221,11,11,13,11,20/07/2019,8,3,91.84,20.33,85.08,137.76
23-582-1221,11,11,13,11,20/07/2019,8,3,320,68.89,85.08,480
23-582-1221,11,11,13,11,20/07/2019,8,3,93.13,89.84,85.08,139.695
23-582-1221,11,11,13,11,20/07/2019,8,3,75,30,85.08,112.5
23-582-1221,11,11,13,11,20/07/2019,8,3,144.09,9.12,85.08,216.135
23-582-1221,11,11,13,11,20/07/2019,8,3,125,47.84,85.08,187.5
23-582-1221,11,11,13,11,20/07/2019,8,3,168.27,17.4,85.08,252.405
23-582-1221,11,11,13,11,20/07/2019,8,3,69.38,37.04,85.08,104.07
23-582-1221,11,11,13,11,20/07/2019,8,3,190,67.77,85.08,285
23-582-1221,11,11,13,11,20/07/2019,8,3,52.08,94.76,85.08,78.12
23-582-1221,11,11,13,11,20/07/2019,8,3,310,91.41,85.08,465
23-582-1221,11,11,13,11,20/07/2019,8,3,91.84,24,85.08,137.76
61-057-1975,12,12,13,12,26/06/2022,10,3,101.6,98.01,25.98,152.4
61-057-1975,12,12,13,12,26/06/2022,10,3,220,73.09,25.98,330
61-057-1975,12,12,13,12,26/06/2022,10,3,101.6,97.48,25.98,152.4
61-057-1975,12,12,13,12,26/06/2022,10,3,235,51.05,25.98,352.5
61-057-1975,12,12,13,12,26/06/2022,10,3,124.62,99.24,25.98,186.93
61-057-1975,12,12,13,12,26/06/2022,10,3,119.8,20.33,25.98,179.7
61-057-1975,12,12,13,12,26/06/2022,10,3,98,68.89,25.98,147
61-057-1975,12,12,13,12,26/06/2022,10,3,83.99,89.84,25.98,125.985
61-057-1975,12,12,13,12,26/06/2022,10,3,225,30,25.98,337.5
61-057-1975,12,12,13,12,26/06/2022,10,3,133.17,9.12,25.98,199.755
61-057-1975,12,12,13,12,26/06/2022,10,3,210,47.84,25.98,315
61-057-1975,12,12,13,12,26/06/2022,10,3,44.57,17.4,25.98,66.855
61-057-1975,12,12,13,12,26/06/2022,10,3,220,37.04,25.98,330
61-057-1975,12,12,13,12,26/06/2022,10,3,101.6,67.77,25.98,152.4
61-057-1975,12,12,13,12,26/06/2022,10,3,235,94.76,25.98,352.5
61-057-1975,12,12,13,12,26/06/2022,10,3,124.62,91.41,25.98,186.93
61-057-1975,12,12,13,12,26/06/2022,10,3,119.8,24,25.98,179.7
61-057-1975,12,12,13,12,26/06/2022,10,3,98,35.44,25.98,147
61-057-1975,12,12,13,12,26/06/2022,10,3,83.99,20,25.98,125.985
61-057-1975,12,12,13,12,26/06/2022,10,3,225,9.71,25.98,337.5
61-057-1975,12,12,13,12,26/06/2022,10,3,133.17,10,25.98,199.755
87-599-0366,1,13,15,13,3/12/2020,9,2,93.13,99.24,96.84,139.695
87-599-0366,1,13,15,13,3/12/2020,9,2,320,20.33,96.84,480
87-599-0366,1,13,15,13,3/12/2020,9,2,93.13,68.89,96.84,139.695
87-599-0366,1,13,15,13,3/12/2020,9,2,75,89.84,96.84,112.5
87-599-0366,1,13,15,13,3/12/2020,9,2,144.09,30,96.84,216.135
87-599-0366,1,13,15,13,3/12/2020,9,2,125,9.12,96.84,187.5
87-599-0366,1,13,15,13,3/12/2020,9,2,168.27,47.84,96.84,252.405
87-599-0366,1,13,15,13,3/12/2020,9,2,69.38,17.4,96.84,104.07
87-599-0366,1,13,15,13,3/12/2020,9,2,190,37.04,96.84,285
87-599-0366,1,13,15,13,3/12/2020,9,2,52.08,67.77,96.84,78.12
87-599-0366,1,13,15,13,3/12/2020,9,2,310,94.76,96.84,465
87-599-0366,1,13,15,13,3/12/2020,9,2,91.84,91.41,96.84,137.76
87-599-0366,1,13,15,13,3/12/2020,9,2,320,24,96.84,480
87-599-0366,1,13,15,13,3/12/2020,9,2,93.13,35.44,96.84,139.695
87-599-0366,1,13,15,13,3/12/2020,9,2,75,20,96.84,112.5
87-599-0366,1,13,15,13,3/12/2020,9,2,144.09,9.71,96.84,216.135
87-599-0366,1,13,15,13,3/12/2020,9,2,125,10,96.84,187.5
87-599-0366,1,13,15,13,3/12/2020,9,2,168.27,31.2,96.84,252.405
87-599-0366,1,13,15,13,3/12/2020,9,2,69.38,15,96.84,104.07
87-599-0366,1,13,15,13,3/12/2020,9,2,190,80.34,96.84,285
87-599-0366,1,13,15,13,3/12/2020,9,2,52.08,53.53,96.84,78.12
85-795-3011,2,14,15,14,13/04/2022,5,1,44.57,30,31.22,66.855
85-795-3011,2,14,15,14,13/04/2022,5,1,210,9.12,31.22,315
85-795-3011,2,14,15,14,13/04/2022,5,1,44.57,47.84,31.22,66.855
85-795-3011,2,14,15,14,13/04/2022,5,1,220,17.4,31.22,330
85-795-3011,2,14,15,14,13/04/2022,5,1,101.6,37.04,31.22,152.4
85-795-3011,2,14,15,14,13/04/2022,5,1,235,67.77,31.22,352.5
85-795-3011,2,14,15,14,13/04/2022,5,1,124.62,94.76,31.22,186.93
85-795-3011,2,14,15,14,13/04/2022,5,1,119.8,91.41,31.22,179.7
85-795-3011,2,14,15,14,13/04/2022,5,1,98,24,31.22,147
85-795-3011,2,14,15,14,13/04/2022,5,1,83.99,35.44,31.22,125.985
85-795-3011,2,14,15,14,13/04/2022,5,1,225,20,31.22,337.5
85-795-3011,2,14,15,14,13/04/2022,5,1,133.17,9.71,31.22,199.755
85-795-3011,2,14,15,14,13/04/2022,5,1,210,10,31.22,315
85-795-3011,2,14,15,14,13/04/2022,5,1,44.57,31.2,31.22,66.855
85-795-3011,2,14,15,14,13/04/2022,5,1,220,15,31.22,330
85-795-3011,2,14,15,14,13/04/2022,5,1,101.6,80.34,31.22,152.4
85-795-3011,2,14,15,14,13/04/2022,5,1,235,53.53,31.22,352.5
85-795-3011,2,14,15,14,13/04/2022,5,1,124.62,61.49,31.22,186.93
85-795-3011,2,14,15,14,13/04/2022,5,1,119.8,10.52,31.22,179.7
85-795-3011,2,14,15,14,13/04/2022,5,1,98,54.08,31.22,147
85-795-3011,2,14,15,14,13/04/2022,5,1,83.99,23,31.22,125.985
08-270-7581,3,15,14,15,22/08/2020,14,2,91.84,37.04,88.76,137.76
08-270-7581,3,15,14,15,22/08/2020,14,2,310,67.77,88.76,465
08-270-7581,3,15,14,15,22/08/2020,14,2,91.84,94.76,88.76,137.76
08-270-7581,3,15,14,15,22/08/2020,14,2,320,91.41,88.76,480
08-270-7581,3,15,14,15,22/08/2020,14,2,93.13,24,88.76,139.695
08-270-7581,3,15,14,15,22/08/2020,14,2,75,35.44,88.76,112.5
08-270-7581,3,15,14,15,22/08/2020,14,2,144.09,20,88.76,216.135
08-270-7581,3,15,14,15,22/08/2020,14,2,125,9.71,88.76,187.5
08-270-7581,3,15,14,15,22/08/2020,14,2,168.27,10,88.76,252.405
08-270-7581,3,15,14,15,22/08/2020,14,2,69.38,31.2,88.76,104.07
08-270-7581,3,15,14,15,22/08/2020,14,2,190,15,88.76,285
08-270-7581,3,15,14,15,22/08/2020,14,2,52.08,80.34,88.76,78.12
08-270-7581,3,15,14,15,22/08/2020,14,2,310,53.53,88.76,465
08-270-7581,3,15,14,15,22/08/2020,14,2,91.84,61.49,88.76,137.76
08-270-7581,3,15,14,15,22/08/2020,14,2,320,10.52,88.76,480
08-270-7581,3,15,14,15,22/08/2020,14,2,93.13,54.08,88.76,139.695
08-270-7581,3,15,14,15,22/08/2020,14,2,75,23,88.76,112.5
08-270-7581,3,15,14,15,22/08/2020,14,2,144.09,91.14,88.76,216.135
08-270-7581,3,15,14,15,22/08/2020,14,2,125,11.23,88.76,187.5
08-270-7581,3,15,14,15,22/08/2020,14,2,168.27,98.01,88.76,252.405
08-270-7581,3,15,14,15,22/08/2020,14,2,69.38,73.09,88.76,104.07
05-410-4163,4,16,14,16,30/09/2020,15,3,133.17,24,63.21,199.755
05-410-4163,4,16,14,16,30/09/2020,15,3,225,35.44,63.21,337.5
05-410-4163,4,16,14,16,30/09/2020,15,3,133.17,20,63.21,199.755
05-410-4163,4,16,14,16,30/09/2020,15,3,210,9.71,63.21,315
05-410-4163,4,16,14,16,30/09/2020,15,3,44.57,10,63.21,66.855
05-410-4163,4,16,14,16,30/09/2020,15,3,220,31.2,63.21,330
05-410-4163,4,16,14,16,30/09/2020,15,3,101.6,15,63.21,152.4
05-410-4163,4,16,14,16,30/09/2020,15,3,235,80.34,63.21,352.5
05-410-4163,4,16,14,16,30/09/2020,15,3,124.62,53.53,63.21,186.93
05-410-4163,4,16,14,16,30/09/2020,15,3,119.8,61.49,63.21,179.7
05-410-4163,4,16,14,16,30/09/2020,15,3,98,10.52,63.21,147
05-410-4163,4,16,14,16,30/09/2020,15,3,83.99,54.08,63.21,125.985
05-410-4163,4,16,14,16,30/09/2020,15,3,225,23,63.21,337.5
05-410-4163,4,16,14,16,30/09/2020,15,3,133.17,91.14,63.21,199.755
05-410-4163,4,16,14,16,30/09/2020,15,3,210,11.23,63.21,315
05-410-4163,4,16,14,16,30/09/2020,15,3,44.57,98.01,63.21,66.855
05-410-4163,4,16,14,16,30/09/2020,15,3,220,73.09,63.21,330
05-410-4163,4,16,14,16,30/09/2020,15,3,101.6,97.48,63.21,152.4
05-410-4163,4,16,14,16,30/09/2020,15,3,235,51.05,63.21,352.5
05-410-4163,4,16,14,16,30/09/2020,15,3,124.62,99.24,63.21,186.93
05-410-4163,4,16,14,16,30/09/2020,15,3,119.8,20.33,63.21,179.7
82-639-1298,5,17,14,17,4/09/2019,1,2,52.08,10,17.25,78.12
82-639-1298,5,17,14,17,4/09/2019,1,2,190,31.2,17.25,285
82-639-1298,5,17,14,17,4/09/2019,1,2,52.08,15,17.25,78.12
82-639-1298,5,17,14,17,4/09/2019,1,2,310,80.34,17.25,465
82-639-1298,5,17,14,17,4/09/2019,1,2,91.84,53.53,17.25,137.76
82-639-1298,5,17,14,17,4/09/2019,1,2,320,61.49,17.25,480
82-639-1298,5,17,14,17,4/09/2019,1,2,93.13,10.52,17.25,139.695
82-639-1298,5,17,14,17,4/09/2019,1,2,75,54.08,17.25,112.5
82-639-1298,5,17,14,17,4/09/2019,1,2,144.09,23,17.25,216.135
